BudgetID,DateKey,AccountID,BudgetAmount,BudgetVersion,Year,Month
106,20230501,6009,22000.0,Final,2023,5
107,20230501,6010,17500.0,Final,2023,5
108,20230501,6011,7500.0,Final,2023,5
109,20230501,6012,14000.0,Final,2023,5
110,20230501,7001,60000.0,Final,2023,5
111,20230601,4001,440000.0,Final,2023,6
112,20230601,4002,270000.0,Final,2023,6
113,20230601,4003,175000.0,Final,2023,6
114,20230601,4004,115000.0,Final,2023,6
115,20230601,4005,90000.0,Final,2023,6
116,20230601,4010,14000.0,Final,2023,6
117,20230601,5001,175000.0,Final,2023,6
118,20230601,5002,90000.0,Final,2023,6
119,20230601,5003,43000.0,Final,2023,6
120,20230601,6001,310000.0,Final,2023,6
121,20230601,6002,82000.0,Final,2023,6
122,20230601,6003,54000.0,Final,2023,6
123,20230601,6004,11500.0,Final,2023,6
124,20230601,6005,72000.0,Final,2023,6
125,20230601,6006,24000.0,Final,2023,6
126,20230601,6007,33000.0,Final,2023,6
127,20230601,6008,43000.0,Final,2023,6
128,20230601,6009,22000.0,Final,2023,6
129,20230601,6010,17500.0,Final,2023,6
130,20230601,6011,7500.0,Final,2023,6
131,20230601,6012,14000.0,Final,2023,6
132,20230601,7001,60000.0,Final,2023,6
133,20230701,4001,440000.0,Final,2023,7
134,20230701,4002,270000.0,Final,2023,7
135,20230701,4003,175000.0,Final,2023,7
136,20230701,4004,115000.0,Final,2023,7
137,20230701,4005,90000.0,Final,2023,7
138,20230701,4010,14000.0,Final,2023,7
139,20230701,5001,175000.0,Final,2023,7
140,20230701,5002,90000.0,Final,2023,7
141,20230701,5003,43000.0,Final,2023,7
142,20230701,6001,310000.0,Final,2023,7
143,20230701,6002,82000.0,Final,2023,7
144,20230701,6003,54000.0,Final,2023,7
145,20230701,6004,11500.0,Final,2023,7
146,20230701,6005,72000.0,Final,2023,7
147,20230701,6006,24000.0,Final,2023,7
148,20230701,6007,33000.0,Final,2023,7
149,20230701,6008,43000.0,Final,2023,7
150,20230701,6009,22000.0,Final,2023,7
151,20230701,6010,17500.0,Final,2023,7
152,20230701,6011,7500.0,Final,2023,7
153,20230701,6012,14000.0,Final,2023,7
154,20230701,7001,60000.0,Final,2023,7
155,20230801,4001,440000.0,Final,2023,8
156,20230801,4002,270000.0,Final,2023,8
157,20230801,4003,175000.0,Final,2023,8
158,20230801,4004,115000.0,Final,2023,8
159,20230801,4005,90000.0,Final,2023,8
160,20230801,4010,14000.0,Final,2023,8
161,20230801,5001,175000.0,Final,2023,8
162,20230801,5002,90000.0,Final,2023,8
163,20230801,5003,43000.0,Final,2023,8
164,20230801,6001,310000.0,Final,2023,8
165,20230801,6002,82000.0,Final,2023,8
166,20230801,6003,54000.0,Final,2023,8
167,20230801,6004,11500.0,Final,2023,8
168,20230801,6005,72000.0,Final,2023,8
169,20230801,6006,24000.0,Final,2023,8
170,20230801,6007,33000.0,Final,2023,8
171,20230801,6008,43000.0,Final,2023,8
172,20230801,6009,22000.0,Final,2023,8
173,20230801,6010,17500.0,Final,2023,8
174,20230801,6011,7500.0,Final,2023,8
175,20230801,6012,14000.0,Final,2023,8
176,20230801,7001,60000.0,Final,2023,8
177,20230901,4001,440000.0,Final,2023,9
178,20230901,4002,270000.0,Final,2023,9
179,20230901,4003,175000.0,Final,2023,9
180,20230901,4004,115000.0,Final,2023,9
181,20230901,4005,90000.0,Final,2023,9
182,20230901,4010,14000.0,Final,2023,9
183,20230901,5001,175000.0,Final,2023,9
184,20230901,5002,90000.0,Final,2023,9
185,20230901,5003,43000.0,Final,2023,9
186,20230901,6001,310000.0,Final,2023,9
187,20230901,6002,82000.0,Final,2023,9
188,20230901,6003,54000.0,Final,2023,9
189,20230901,6004,11500.0,Final,2023,9
190,20230901,6005,72000.0,Final,2023,9
191,20230901,6006,24000.0,Final,2023,9
192,20230901,6007,33000.0,Final,2023,9
193,20230901,6008,43000.0,Final,2023,9
194,20230901,6009,22000.0,Final,2023,9
195,20230901,6010,17500.0,Final,2023,9
196,20230901,6011,7500.0,Final,2023,9
197,20230901,6012,14000.0,Final,2023,9
198,20230901,7001,60000.0,Final,2023,9
199,20231001,4001,440000.0,Final,2023,10
200,20231001,4002,270000.0,Final,2023,10
201,20231001,4003,175000.0,Final,2023,10
202,20231001,4004,115000.0,Final,2023,10
203,20231001,4005,90000.0,Final,2023,10
204,20231001,4010,14000.0,Final,2023,10
205,20231001,5001,175000.0,Final,2023,10
206,20231001,5002,90000.0,Final,2023,10
207,20231001,5003,43000.0,Final,2023,10
208,20231001,6001,310000.0,Final,2023,10
209,20231001,6002,82000.0,Final,2023,10
210,20231001,6003,54000.0,Final,2023,10
211,20231001,6004,11500.0,Final,2023,10
212,20231001,6005,72000.0,Final,2023,10
213,20231001,6006,24000.0,Final,2023,10
214,20231001,6007,33000.0,Final,2023,10
215,20231001,6008,43000.0,Final,2023,10
216,20231001,6009,22000.0,Final,2023,10
217,20231001,6010,17500.0,Final,2023,10
218,20231001,6011,7500.0,Final,2023,10
219,20231001,6012,14000.0,Final,2023,10
220,20231001,7001,60000.0,Final,2023,10
221,20231101,4001,440000.0,Final,2023,11
222,20231101,4002,270000.0,Final,2023,11
223,20231101,4003,175000.0,Final,2023,11
224,20231101,4004,115000.0,Final,2023,11
225,20231101,4005,90000.0,Final,2023,11
226,20231101,4010,14000.0,Final,2023,11
227,20231101,5001,175000.0,Final,2023,11
228,20231101,5002,90000.0,Final,2023,11
229,20231101,5003,43000.0,Final,2023,11
230,20231101,6001,310000.0,Final,2023,11
231,20231101,6002,82000.0,Final,2023,11
232,20231101,6003,54000.0,Final,2023,11
233,20231101,6004,11500.0,Final,2023,11
234,20231101,6005,72000.0,Final,2023,11
235,20231101,6006,24000.0,Final,2023,11
236,20231101,6007,33000.0,Final,2023,11
237,20231101,6008,43000.0,Final,2023,11
238,20231101,6009,22000.0,Final,2023,11
239,20231101,6010,17500.0,Final,2023,11
240,20231101,6011,7500.0,Final,2023,11
241,20231101,6012,14000.0,Final,2023,11
242,20231101,7001,60000.0,Final,2023,11
243,20231201,4001,440000.0,Final,2023,12
244,20231201,4002,270000.0,Final,2023,12
245,20231201,4003,175000.0,Final,2023,12
246,20231201,4004,115000.0,Final,2023,12
247,20231201,4005,90000.0,Final,2023,12
248,20231201,4010,14000.0,Final,2023,12
249,20231201,5001,175000.0,Final,2023,12
250,20231201,5002,90000.0,Final,2023,12
251,20231201,5003,43000.0,Final,2023,12
252,20231201,6001,310000.0,Final,2023,12
253,20231201,6002,82000.0,Final,2023,12
254,20231201,6003,54000.0,Final,2023,12
255,20231201,6004,11500.0,Final,2023,12
256,20231201,6005,72000.0,Final,2023,12
257,20231201,6006,24000.0,Final,2023,12
258,20231201,6007,33000.0,Final,2023,12
259,20231201,6008,43000.0,Final,2023,12
260,20231201,6009,22000.0,Final,2023,12
261,20231201,6010,17500.0,Final,2023,12
262,20231201,6011,7500.0,Final,2023,12
263,20231201,6012,14000.0,Final,2023,12
264,20231201,7001,60000.0,Final,2023,12
265,20240101,4001,492800.0,Final,2024,1
266,20240101,4002,302400.0,Final,2024,1
267,20240101,4003,196000.0,Final,2024,1
268,20240101,4004,128800.0,Final,2024,1
269,20240101,4005,100800.0,Final,2024,1
270,20240101,4010,15680.0,Final,2024,1
271,20240101,5001,189000.0,Final,2024,1
272,20240101,5002,97200.0,Final,2024,1
273,20240101,5003,46440.0,Final,2024,1
274,20240101,6001,334800.0,Final,2024,1
275,20240101,6002,88560.0,Final,2024,1
276,20240101,6003,58320.0,Final,2024,1
277,20240101,6004,12420.0,Final,2024,1
278,20240101,6005,77760.0,Final,2024,1
279,20240101,6006,25920.0,Final,2024,1
280,20240101,6007,35640.0,Final,2024,1
281,20240101,6008,46440.0,Final,2024,1
282,20240101,6009,23760.0,Final,2024,1
283,20240101,6010,18900.0,Final,2024,1
284,20240101,6011,8100.0,Final,2024,1
285,20240101,6012,15120.0,Final,2024,1
286,20240101,7001,64800.0,Final,2024,1
287,20240201,4001,492800.0,Final,2024,2
288,20240201,4002,302400.0,Final,2024,2
289,20240201,4003,196000.0,Final,2024,2
290,20240201,4004,128800.0,Final,2024,2
291,20240201,4005,100800.0,Final,2024,2
292,20240201,4010,15680.0,Final,2024,2
293,20240201,5001,189000.0,Final,2024,2
294,20240201,5002,97200.0,Final,2024,2
295,20240201,5003,46440.0,Final,2024,2
296,20240201,6001,334800.0,Final,2024,2
297,20240201,6002,88560.0,Final,2024,2
298,20240201,6003,58320.0,Final,2024,2
299,20240201,6004,12420.0,Final,2024,2
300,20240201,6005,77760.0,Final,2024,2
301,20240201,6006,25920.0,Final,2024,2
302,20240201,6007,35640.0,Final,2024,2
303,20240201,6008,46440.0,Final,2024,2
304,20240201,6009,23760.0,Final,2024,2
305,20240201,6010,18900.0,Final,2024,2
306,20240201,6011,8100.0,Final,2024,2
307,20240201,6012,15120.0,Final,2024,2
308,20240201,7001,64800.0,Final,2024,2
309,20240301,4001,492800.0,Final,2024,3
310,20240301,4002,302400.0,Final,2024,3
311,20240301,4003,196000.0,Final,2024,3
312,20240301,4004,128800.0,Final,2024,3
313,20240301,4005,100800.0,Final,2024,3
314,20240301,4010,15680.0,Final,2024,3
315,20240301,5001,189000.0,Final,2024,3
316,20240301,5002,97200.0,Final,2024,3
317,20240301,5003,46440.0,Final,2024,3
318,20240301,6001,334800.0,Final,2024,3
319,20240301,6002,88560.0,Final,2024,3
320,20240301,6003,58320.0,Final,2024,3
321,20240301,6004,12420.0,Final,2024,3
322,20240301,6005,77760.0,Final,2024,3
323,20240301,6006,25920.0,Final,2024,3
324,20240301,6007,35640.0,Final,2024,3
325,20240301,6008,46440.0,Final,2024,3
326,20240301,6009,23760.0,Final,2024,3
327,20240301,6010,18900.0,Final,2024,3
328,20240301,6011,8100.0,Final,2024,3
329,20240301,6012,15120.0,Final,2024,3
330,20240301,7001,64800.0,Final,2024,3
331,20240401,4001,492800.0,Final,2024,4
332,20240401,4002,302400.0,Final,2024,4
333,20240401,4003,196000.0,Final,2024,4
334,20240401,4004,128800.0,Final,2024,4
335,20240401,4005,100800.0,Final,2024,4
336,20240401,4010,15680.0,Final,2024,4
337,20240401,5001,189000.0,Final,2024,4
338,20240401,5002,97200.0,Final,2024,4
339,20240401,5003,46440.0,Final,2024,4
340,20240401,6001,334800.0,Final,2024,4
341,20240401,6002,88560.0,Final,2024,4
342,20240401,6003,58320.0,Final,2024,4
343,20240401,6004,12420.0,Final,2024,4
344,20240401,6005,77760.0,Final,2024,4
345,20240401,6006,25920.0,Final,2024,4
346,20240401,6007,35640.0,Final,2024,4
347,20240401,6008,46440.0,Final,2024,4
348,20240401,6009,23760.0,Final,2024,4
349,20240401,6010,18900.0,Final,2024,4
350,20240401,6011,8100.0,Final,2024,4
351,20240401,6012,15120.0,Final,2024,4
352,20240401,7001,64800.0,Final,2024,4
353,20240501,4001,492800.0,Final,2024,5
354,20240501,4002,302400.0,Final,2024,5
355,20240501,4003,196000.0,Final,2024,5
356,20240501,4004,128800.0,Final,2024,5
357,20240501,4005,100800.0,Final,2024,5
358,20240501,4010,15680.0,Final,2024,5
359,20240501,5001,189000.0,Final,2024,5
360,20240501,5002,97200.0,Final,2024,5
361,20240501,5003,46440.0,Final,2024,5
362,20240501,6001,334800.0,Final,2024,5
363,20240501,6002,88560.0,Final,2024,5
364,20240501,6003,58320.0,Final,2024,5
365,20240501,6004,12420.0,Final,2024,5
366,20240501,6005,77760.0,Final,2024,5
367,20240501,6006,25920.0,Final,2024,5
368,20240501,6007,35640.0,Final,2024,5
369,20240501,6008,46440.0,Final,2024,5
370,20240501,6009,23760.0,Final,2024,5
371,20240501,6010,18900.0,Final,2024,5
372,20240501,6011,8100.0,Final,2024,5
373,20240501,6012,15120.0,Final,2024,5
374,20240501,7001,64800.0,Final,2024,5
375,20240601,4001,492800.0,Final,2024,6
376,20240601,4002,302400.0,Final,2024,6
377,20240601,4003,196000.0,Final,2024,6
378,20240601,4004,128800.0,Final,2024,6
379,20240601,4005,100800.0,Final,2024,6
380,20240601,4010,15680.0,Final,2024,6
381,20240601,5001,189000.0,Final,2024,6
382,20240601,5002,97200.0,Final,2024,6
383,20240601,5003,46440.0,Final,2024,6
384,20240601,6001,334800.0,Final,2024,6
385,20240601,6002,88560.0,Final,2024,6
386,20240601,6003,58320.0,Final,2024,6
387,20240601,6004,12420.0,Final,2024,6
388,20240601,6005,77760.0,Final,2024,6
389,20240601,6006,25920.0,Final,2024,6
390,20240601,6007,35640.0,Final,2024,6
391,20240601,6008,46440.0,Final,2024,6
392,20240601,6009,23760.0,Final,2024,6
393,20240601,6010,18900.0,Final,2024,6
394,20240601,6011,8100.0,Final,2024,6
395,20240601,6012,15120.0,Final,2024,6
396,20240601,7001,64800.0,Final,2024,6
397,20240701,4001,492800.0,Final,2024,7
398,20240701,4002,302400.0,Final,2024,7
399,20240701,4003,196000.0,Final,2024,7
400,20240701,4004,128800.0,Final,2024,7
401,20240701,4005,100800.0,Final,2024,7
402,20240701,4010,15680.0,Final,2024,7
403,20240701,5001,189000.0,Final,2024,7
404,20240701,5002,97200.0,Final,2024,7
405,20240701,5003,46440.0,Final,2024,7
406,20240701,6001,334800.0,Final,2024,7
407,20240701,6002,88560.0,Final,2024,7
408,20240701,6003,58320.0,Final,2024,7
409,20240701,6004,12420.0,Final,2024,7
410,20240701,6005,77760.0,Final,2024,7
411,20240701,6006,25920.0,Final,2024,7
412,20240701,6007,35640.0,Final,2024,7
413,20240701,6008,46440.0,Final,2024,7
414,20240701,6009,23760.0,Final,2024,7
415,20240701,6010,18900.0,Final,2024,7
416,20240701,6011,8100.0,Final,2024,7
417,20240701,6012,15120.0,Final,2024,7
418,20240701,7001,64800.0,Final,2024,7
419,20240801,4001,492800.0,Final,2024,8
420,20240801,4002,302400.0,Final,2024,8
421,20240801,4003,196000.0,Final,2024,8
422,20240801,4004,128800.0,Final,2024,8
423,20240801,4005,100800.0,Final,2024,8
424,20240801,4010,15680.0,Final,2024,8
425,20240801,5001,189000.0,Final,2024,8
426,20240801,5002,97200.0,Final,2024,8
427,20240801,5003,46440.0,Final,2024,8
428,20240801,6001,334800.0,Final,2024,8
429,20240801,6002,88560.0,Final,2024,8
430,20240801,6003,58320.0,Final,2024,8
431,20240801,6004,12420.0,Final,2024,8
432,20240801,6005,77760.0,Final,2024,8
433,20240801,6006,25920.0,Final,2024,8
434,20240801,6007,35640.0,Final,2024,8
435,20240801,6008,46440.0,Final,2024,8
436,20240801,6009,23760.0,Final,2024,8
437,20240801,6010,18900.0,Final,2024,8
438,20240801,6011,8100.0,Final,2024,8
439,20240801,6012,15120.0,Final,2024,8
440,20240801,7001,64800.0,Final,2024,8
441,20240901,4001,492800.0,Final,2024,9
442,20240901,4002,302400.0,Final,2024,9
443,20240901,4003,196000.0,Final,2024,9
444,20240901,4004,128800.0,Final,2024,9
445,20240901,4005,100800.0,Final,2024,9
446,20240901,4010,15680.0,Final,2024,9
447,20240901,5001,189000.0,Final,2024,9
448,20240901,5002,97200.0,Final,2024,9
449,20240901,5003,46440.0,Final,2024,9
450,20240901,6001,334800.0,Final,2024,9
451,20240901,6002,88560.0,Final,2024,9
452,20240901,6003,58320.0,Final,2024,9
453,20240901,6004,12420.0,Final,2024,9
454,20240901,6005,77760.0,Final,2024,9
455,20240901,6006,25920.0,Final,2024,9
456,20240901,6007,35640.0,Final,2024,9
457,20240901,6008,46440.0,Final,2024,9
458,20240901,6009,23760.0,Final,2024,9
459,20240901,6010,18900.0,Final,2024,9
460,20240901,6011,8100.0,Final,2024,9
461,20240901,6012,15120.0,Final,2024,9
462,20240901,7001,64800.0,Final,2024,9
463,20241001,4001,492800.0,Final,2024,10
464,20241001,4002,302400.0,Final,2024,10
465,20241001,4003,196000.0,Final,2024,10
466,20241001,4004,128800.0,Final,2024,10
467,20241001,4005,100800.0,Final,2024,10
468,20241001,4010,15680.0,Final,2024,10
469,20241001,5001,189000.0,Final,2024,10
470,20241001,5002,97200.0,Final,2024,10
471,20241001,5003,46440.0,Final,2024,10
472,20241001,6001,334800.0,Final,2024,10
473,20241001,6002,88560.0,Final,2024,10
474,20241001,6003,58320.0,Final,2024,10
475,20241001,6004,12420.0,Final,2024,10
476,20241001,6005,77760.0,Final,2024,10
477,20241001,6006,25920.0,Final,2024,10
478,20241001,6007,35640.0,Final,2024,10
479,20241001,6008,46440.0,Final,2024,10
480,20241001,6009,23760.0,Final,2024,10
481,20241001,6010,18900.0,Final,2024,10
482,20241001,6011,8100.0,Final,2024,10
483,20241001,6012,15120.0,Final,2024,10
484,20241001,7001,64800.0,Final,2024,10
485,20241101,4001,492800.0,Final,2024,11
486,20241101,4002,302400.0,Final,2024,11
487,20241101,4003,196000.0,Final,2024,11
488,20241101,4004,128800.0,Final,2024,11
489,20241101,4005,100800.0,Final,2024,11
490,20241101,4010,15680.0,Final,2024,11
491,20241101,5001,189000.0,Final,2024,11
492,20241101,5002,97200.0,Final,2024,11
493,20241101,5003,46440.0,Final,2024,11
494,20241101,6001,334800.0,Final,2024,11
495,20241101,6002,88560.0,Final,2024,11
496,20241101,6003,58320.0,Final,2024,11
497,20241101,6004,12420.0,Final,2024,11
498,20241101,6005,77760.0,Final,2024,11
499,20241101,6006,25920.0,Final,2024,11
500,20241101,6007,35640.0,Final,2024,11
501,20241101,6008,46440.0,Final,2024,11
502,20241101,6009,23760.0,Final,2024,11
503,20241101,6010,18900.0,Final,2024,11
504,20241101,6011,8100.0,Final,2024,11
505,20241101,6012,15120.0,Final,2024,11
506,20241101,7001,64800.0,Final,2024,11
507,20241201,4001,492800.0,Final,2024,12
508,20241201,4002,302400.0,Final,2024,12
509,20241201,4003,196000.0,Final,2024,12
510,20241201,4004,128800.0,Final,2024,12
511,20241201,4005,100800.0,Final,2024,12
512,20241201,4010,15680.0,Final,2024,12
513,20241201,5001,189000.0,Final,2024,12
514,20241201,5002,97200.0,Final,2024,12
515,20241201,5003,46440.0,Final,2024,12
516,20241201,6001,334800.0,Final,2024,12
517,20241201,6002,88560.0,Final,2024,12
518,20241201,6003,58320.0,Final,2024,12
519,20241201,6004,12420.0,Final,2024,12
520,20241201,6005,77760.0,Final,2024,12
521,20241201,6006,25920.0,Final,2024,12
522,20241201,6007,35640.0,Final,2024,12
523,20241201,6008,46440.0,Final,2024,12
524,20241201,6009,23760.0,Final,2024,12
525,20241201,6010,18900.0,Final,2024,12
526,20241201,6011,8100.0,Final,2024,12
527,20241201,6012,15120.0,Final,2024,12
528,20241201,7001,64800.0,Final,2024,12
529,20250101,4001,545600.0,Final,2025,1
530,20250101,4002,334800.0,Final,2025,1
531,20250101,4003,217000.0,Final,2025,1
532,20250101,4004,142600.0,Final,2025,1
533,20250101,4005,111600.0,Final,2025,1
534,20250101,4010,17360.0,Final,2025,1
535,20250101,5001,203000.0,Final,2025,1
536,20250101,5002,104400.0,Final,2025,1
537,20250101,5003,49880.0,Final,2025,1
538,20250101,6001,359600.0,Final,2025,1
539,20250101,6002,95120.0,Final,2025,1
540,20250101,6003,62640.0,Final,2025,1
541,20250101,6004,13340.0,Final,2025,1
542,20250101,6005,83520.0,Final,2025,1
543,20250101,6006,27840.0,Final,2025,1
544,20250101,6007,38280.0,Final,2025,1
545,20250101,6008,49880.0,Final,2025,1
546,20250101,6009,25520.0,Final,2025,1
547,20250101,6010,20300.0,Final,2025,1
548,20250101,6011,8700.0,Final,2025,1
549,20250101,6012,16240.0,Final,2025,1
550,20250101,7001,69600.0,Final,2025,1
551,20250201,4001,545600.0,Final,2025,2
552,20250201,4002,334800.0,Final,2025,2
553,20250201,4003,217000.0,Final,2025,2
554,20250201,4004,142600.0,Final,2025,2
555,20250201,4005,111600.0,Final,2025,2
556,20250201,4010,17360.0,Final,2025,2
557,20250201,5001,203000.0,Final,2025,2
558,20250201,5002,104400.0,Final,2025,2
559,20250201,5003,49880.0,Final,2025,2
560,20250201,6001,359600.0,Final,2025,2
561,20250201,6002,95120.0,Final,2025,2
562,20250201,6003,62640.0,Final,2025,2
563,20250201,6004,13340.0,Final,2025,2
564,20250201,6005,83520.0,Final,2025,2
565,20250201,6006,27840.0,Final,2025,2
566,20250201,6007,38280.0,Final,2025,2
567,20250201,6008,49880.0,Final,2025,2
568,20250201,6009,25520.0,Final,2025,2
569,20250201,6010,20300.0,Final,2025,2
570,20250201,6011,8700.0,Final,2025,2
571,20250201,6012,16240.0,Final,2025,2
572,20250201,7001,69600.0,Final,2025,2
573,20250301,4001,545600.0,Final,2025,3
574,20250301,4002,334800.0,Final,2025,3
575,20250301,4003,217000.0,Final,2025,3
576,20250301,4004,142600.0,Final,2025,3
577,20250301,4005,111600.0,Final,2025,3
578,20250301,4010,17360.0,Final,2025,3
579,20250301,5001,203000.0,Final,2025,3
580,20250301,5002,104400.0,Final,2025,3
581,20250301,5003,49880.0,Final,2025,3
582,20250301,6001,359600.0,Final,2025,3
583,20250301,6002,95120.0,Final,2025,3
584,20250301,6003,62640.0,Final,2025,3
585,20250301,6004,13340.0,Final,2025,3
586,20250301,6005,83520.0,Final,2025,3
587,20250301,6006,27840.0,Final,2025,3
588,20250301,6007,38280.0,Final,2025,3
589,20250301,6008,49880.0,Final,2025,3
590,20250301,6009,25520.0,Final,2025,3
591,20250301,6010,20300.0,Final,2025,3
592,20250301,6011,8700.0,Final,2025,3
593,20250301,6012,16240.0,Final,2025,3
594,20250301,7001,69600.0,Final,2025,3
595,20250401,4001,545600.0,Final,2025,4
596,20250401,4002,334800.0,Final,2025,4
597,20250401,4003,217000.0,Final,2025,4
598,20250401,4004,142600.0,Final,2025,4
599,20250401,4005,111600.0,Final,2025,4
600,20250401,4010,17360.0,Final,2025,4
601,20250401,5001,203000.0,Final,2025,4
602,20250401,5002,104400.0,Final,2025,4
603,20250401,5003,49880.0,Final,2025,4
604,20250401,6001,359600.0,Final,2025,4
605,20250401,6002,95120.0,Final,2025,4
606,20250401,6003,62640.0,Final,2025,4
607,20250401,6004,13340.0,Final,2025,4
608,20250401,6005,83520.0,Final,2025,4
609,20250401,6006,27840.0,Final,2025,4
610,20250401,6007,38280.0,Final,2025,4
611,20250401,6008,49880.0,Final,2025,4
612,20250401,6009,25520.0,Final,2025,4
613,20250401,6010,20300.0,Final,2025,4
614,20250401,6011,8700.0,Final,2025,4
615,20250401,6012,16240.0,Final,2025,4
616,20250401,7001,69600.0,Final,2025,4
617,20250501,4001,545600.0,Final,2025,5
618,20250501,4002,334800.0,Final,2025,5
619,20250501,4003,217000.0,Final,2025,5
620,20250501,4004,142600.0,Final,2025,5
621,20250501,4005,111600.0,Final,2025,5
622,20250501,4010,17360.0,Final,2025,5
623,20250501,5001,203000.0,Final,2025,5
624,20250501,5002,104400.0,Final,2025,5
625,20250501,5003,49880.0,Final,2025,5
626,20250501,6001,359600.0,Final,2025,5
627,20250501,6002,95120.0,Final,2025,5
628,20250501,6003,62640.0,Final,2025,5
629,20250501,6004,13340.0,Final,2025,5
630,20250501,6005,83520.0,Final,2025,5
631,20250501,6006,27840.0,Final,2025,5
632,20250501,6007,38280.0,Final,2025,5
