CashFlowID,DateKey,Activity,LineItem,Amount,Year,Month
45,20230515,Operating,Cash from Customers,875028.57,2023,5
46,20230515,Operating,Cash Paid to Suppliers,-299246.18,2023,5
47,20230515,Operating,Cash Paid to Employees,-306579.74,2023,5
48,20230515,Operating,Interest Received,12955.89,2023,5
49,20230515,Operating,Taxes Paid,-70997.38,2023,5
50,20230515,Investing,Capital Expenditures,-80550.89,2023,5
51,20230515,Investing,Asset Sales,11799.5,2023,5
52,20230515,Investing,Acquisitions,-25800.72,2023,5
53,20230515,Financing,Debt Repayment,-43652.23,2023,5
54,20230515,Financing,Dividends Paid,-31013.33,2023,5
55,20230515,Financing,Share Issuance,17488.22,2023,5
56,20230615,Operating,Cash from Customers,782699.91,2023,6
57,20230615,Operating,Cash Paid to Suppliers,-395305.76,2023,6
58,20230615,Operating,Cash Paid to Employees,-361361.07,2023,6
59,20230615,Operating,Interest Received,17190.92,2023,6
60,20230615,Operating,Taxes Paid,-71963.45,2023,6
61,20230615,Investing,Capital Expenditures,-95332.67,2023,6
62,20230615,Investing,Asset Sales,12843.4,2023,6
63,20230615,Investing,Acquisitions,-23453.97,2023,6
64,20230615,Financing,Debt Repayment,-40883.54,2023,6
65,20230615,Financing,Dividends Paid,-26788.45,2023,6
66,20230615,Financing,Share Issuance,20120.33,2023,6
67,20230715,Operating,Cash from Customers,817254.23,2023,7
68,20230715,Operating,Cash Paid to Suppliers,-387464.27,2023,7
69,20230715,Operating,Cash Paid to Employees,-320445.12,2023,7
70,20230715,Operating,Interest Received,13325.38,2023,7
71,20230715,Operating,Taxes Paid,-70788.0,2023,7
72,20230715,Investing,Capital Expenditures,-79934.38,2023,7
73,20230715,Investing,Asset Sales,12623.02,2023,7
74,20230715,Investing,Acquisitions,-25365.6,2023,7
75,20230715,Financing,Debt Repayment,-50059.61,2023,7
76,20230715,Financing,Dividends Paid,-27012.48,2023,7
77,20230715,Financing,Share Issuance,19677.72,2023,7
78,20230815,Operating,Cash from Customers,707762.87,2023,8
79,20230815,Operating,Cash Paid to Suppliers,-367077.42,2023,8
80,20230815,Operating,Cash Paid to Employees,-295126.55,2023,8
81,20230815,Operating,Interest Received,13702.38,2023,8
82,20230815,Operating,Taxes Paid,-69938.42,2023,8
83,20230815,Investing,Capital Expenditures,-89073.5,2023,8
84,20230815,Investing,Asset Sales,10521.95,2023,8
85,20230815,Investing,Acquisitions,-24511.7,2023,8
86,20230815,Financing,Debt Repayment,-47912.83,2023,8
87,20230815,Financing,Dividends Paid,-26942.12,2023,8
88,20230815,Financing,Share Issuance,22573.8,2023,8
89,20230915,Operating,Cash from Customers,896635.64,2023,9
90,20230915,Operating,Cash Paid to Suppliers,-377962.43,2023,9
91,20230915,Operating,Cash Paid to Employees,-293156.1,2023,9
92,20230915,Operating,Interest Received,13909.33,2023,9
93,20230915,Operating,Taxes Paid,-64537.9,2023,9
94,20230915,Investing,Capital Expenditures,-95136.53,2023,9
95,20230915,Investing,Asset Sales,10643.15,2023,9
96,20230915,Investing,Acquisitions,-22268.17,2023,9
97,20230915,Financing,Debt Repayment,-45466.33,2023,9
98,20230915,Financing,Dividends Paid,-32028.73,2023,9
99,20230915,Financing,Share Issuance,17542.65,2023,9
100,20231015,Operating,Cash from Customers,846028.29,2023,10
101,20231015,Operating,Cash Paid to Suppliers,-389053.76,2023,10
102,20231015,Operating,Cash Paid to Employees,-361450.88,2023,10
103,20231015,Operating,Interest Received,16198.52,2023,10
104,20231015,Operating,Taxes Paid,-66963.25,2023,10
105,20231015,Investing,Capital Expenditures,-88671.66,2023,10
106,20231015,Investing,Asset Sales,11557.24,2023,10
107,20231015,Investing,Acquisitions,-26630.82,2023,10
108,20231015,Financing,Debt Repayment,-48186.03,2023,10
109,20231015,Financing,Dividends Paid,-28934.85,2023,10
110,20231015,Financing,Share Issuance,20852.61,2023,10
111,20231115,Operating,Cash from Customers,814855.99,2023,11
112,20231115,Operating,Cash Paid to Suppliers,-387394.81,2023,11
113,20231115,Operating,Cash Paid to Employees,-349610.96,2023,11
114,20231115,Operating,Interest Received,13755.98,2023,11
115,20231115,Operating,Taxes Paid,-57505.95,2023,11
116,20231115,Investing,Capital Expenditures,-74485.85,2023,11
117,20231115,Investing,Asset Sales,10520.9,2023,11
118,20231115,Investing,Acquisitions,-26804.36,2023,11
119,20231115,Financing,Debt Repayment,-50902.34,2023,11
120,20231115,Financing,Dividends Paid,-32201.56,2023,11
121,20231115,Financing,Share Issuance,17696.64,2023,11
122,20231215,Operating,Cash from Customers,768256.89,2023,12
123,20231215,Operating,Cash Paid to Suppliers,-387099.68,2023,12
124,20231215,Operating,Cash Paid to Employees,-363590.59,2023,12
125,20231215,Operating,Interest Received,15346.13,2023,12
126,20231215,Operating,Taxes Paid,-55282.73,2023,12
127,20231215,Investing,Capital Expenditures,-73828.07,2023,12
128,20231215,Investing,Asset Sales,12128.17,2023,12
129,20231215,Investing,Acquisitions,-27603.39,2023,12
130,20231215,Financing,Debt Repayment,-51477.97,2023,12
131,20231215,Financing,Dividends Paid,-28376.79,2023,12
132,20231215,Financing,Share Issuance,19190.14,2023,12
133,20240115,Operating,Cash from Customers,944196.42,2024,1
134,20240115,Operating,Cash Paid to Suppliers,-426876.08,2024,1
135,20240115,Operating,Cash Paid to Employees,-360523.67,2024,1
136,20240115,Operating,Interest Received,17312.15,2024,1
137,20240115,Operating,Taxes Paid,-66731.57,2024,1
138,20240115,Investing,Capital Expenditures,-92210.12,2024,1
139,20240115,Investing,Asset Sales,13594.4,2024,1
140,20240115,Investing,Acquisitions,-27669.06,2024,1
141,20240115,Financing,Debt Repayment,-45027.88,2024,1
142,20240115,Financing,Dividends Paid,-38064.33,2024,1
143,20240115,Financing,Share Issuance,24666.1,2024,1
144,20240215,Operating,Cash from Customers,895955.02,2024,2
145,20240215,Operating,Cash Paid to Suppliers,-386800.26,2024,2
146,20240215,Operating,Cash Paid to Employees,-369309.56,2024,2
147,20240215,Operating,Interest Received,15015.19,2024,2
148,20240215,Operating,Taxes Paid,-76411.26,2024,2
149,20240215,Investing,Capital Expenditures,-103804.89,2024,2
150,20240215,Investing,Asset Sales,14258.36,2024,2
151,20240215,Investing,Acquisitions,-28830.59,2024,2
152,20240215,Financing,Debt Repayment,-47510.44,2024,2
153,20240215,Financing,Dividends Paid,-38542.58,2024,2
154,20240215,Financing,Share Issuance,19869.68,2024,2
155,20240315,Operating,Cash from Customers,1029552.9,2024,3
156,20240315,Operating,Cash Paid to Suppliers,-416287.02,2024,3
157,20240315,Operating,Cash Paid to Employees,-356064.96,2024,3
158,20240315,Operating,Interest Received,18456.58,2024,3
159,20240315,Operating,Taxes Paid,-72691.36,2024,3
160,20240315,Investing,Capital Expenditures,-101030.25,2024,3
161,20240315,Investing,Asset Sales,12942.89,2024,3
162,20240315,Investing,Acquisitions,-32041.6,2024,3
163,20240315,Financing,Debt Repayment,-47877.15,2024,3
164,20240315,Financing,Dividends Paid,-36905.08,2024,3
165,20240315,Financing,Share Issuance,20455.32,2024,3
166,20240415,Operating,Cash from Customers,958538.5,2024,4
167,20240415,Operating,Cash Paid to Suppliers,-428505.23,2024,4
168,20240415,Operating,Cash Paid to Employees,-379947.81,2024,4
169,20240415,Operating,Interest Received,14544.93,2024,4
170,20240415,Operating,Taxes Paid,-80781.03,2024,4
171,20240415,Investing,Capital Expenditures,-86032.82,2024,4
172,20240415,Investing,Asset Sales,13389.62,2024,4
173,20240415,Investing,Acquisitions,-27091.19,2024,4
174,20240415,Financing,Debt Repayment,-57723.97,2024,4
175,20240415,Financing,Dividends Paid,-35205.24,2024,4
176,20240415,Financing,Share Issuance,24742.04,2024,4
177,20240515,Operating,Cash from Customers,1027997.79,2024,5
178,20240515,Operating,Cash Paid to Suppliers,-397638.09,2024,5
179,20240515,Operating,Cash Paid to Employees,-340918.34,2024,5
180,20240515,Operating,Interest Received,17696.61,2024,5
181,20240515,Operating,Taxes Paid,-83508.46,2024,5
182,20240515,Investing,Capital Expenditures,-102560.32,2024,5
183,20240515,Investing,Asset Sales,13000.77,2024,5
184,20240515,Investing,Acquisitions,-28233.89,2024,5
185,20240515,Financing,Debt Repayment,-47119.56,2024,5
186,20240515,Financing,Dividends Paid,-35579.47,2024,5
187,20240515,Financing,Share Issuance,20351.02,2024,5
188,20240615,Operating,Cash from Customers,991760.6,2024,6
189,20240615,Operating,Cash Paid to Suppliers,-379507.64,2024,6
190,20240615,Operating,Cash Paid to Employees,-318714.44,2024,6
191,20240615,Operating,Interest Received,18071.42,2024,6
192,20240615,Operating,Taxes Paid,-74555.58,2024,6
193,20240615,Investing,Capital Expenditures,-103912.85,2024,6
194,20240615,Investing,Asset Sales,14850.43,2024,6
195,20240615,Investing,Acquisitions,-29760.54,2024,6
196,20240615,Financing,Debt Repayment,-49757.89,2024,6
197,20240615,Financing,Dividends Paid,-30210.04,2024,6
198,20240615,Financing,Share Issuance,19964.41,2024,6
199,20240715,Operating,Cash from Customers,948672.85,2024,7
200,20240715,Operating,Cash Paid to Suppliers,-367431.19,2024,7
201,20240715,Operating,Cash Paid to Employees,-320211.36,2024,7
202,20240715,Operating,Interest Received,15379.41,2024,7
203,20240715,Operating,Taxes Paid,-78224.67,2024,7
204,20240715,Investing,Capital Expenditures,-101920.71,2024,7
205,20240715,Investing,Asset Sales,11460.82,2024,7
206,20240715,Investing,Acquisitions,-29898.04,2024,7
207,20240715,Financing,Debt Repayment,-51544.31,2024,7
208,20240715,Financing,Dividends Paid,-35397.44,2024,7
209,20240715,Financing,Share Issuance,25682.61,2024,7
210,20240815,Operating,Cash from Customers,801276.35,2024,8
211,20240815,Operating,Cash Paid to Suppliers,-444966.82,2024,8
212,20240815,Operating,Cash Paid to Employees,-350562.98,2024,8
213,20240815,Operating,Interest Received,18521.97,2024,8
214,20240815,Operating,Taxes Paid,-82103.52,2024,8
215,20240815,Investing,Capital Expenditures,-83663.12,2024,8
216,20240815,Investing,Asset Sales,15351.81,2024,8
217,20240815,Investing,Acquisitions,-25308.92,2024,8
218,20240815,Financing,Debt Repayment,-43633.38,2024,8
219,20240815,Financing,Dividends Paid,-38441.19,2024,8
220,20240815,Financing,Share Issuance,23408.66,2024,8
221,20240915,Operating,Cash from Customers,921103.87,2024,9
222,20240915,Operating,Cash Paid to Suppliers,-447239.89,2024,9
223,20240915,Operating,Cash Paid to Employees,-372052.09,2024,9
224,20240915,Operating,Interest Received,16316.13,2024,9
225,20240915,Operating,Taxes Paid,-62622.4,2024,9
226,20240915,Investing,Capital Expenditures,-87798.83,2024,9
227,20240915,Investing,Asset Sales,13394.14,2024,9
228,20240915,Investing,Acquisitions,-29579.07,2024,9
229,20240915,Financing,Debt Repayment,-57272.88,2024,9
230,20240915,Financing,Dividends Paid,-35140.19,2024,9
231,20240915,Financing,Share Issuance,21562.5,2024,9
232,20241015,Operating,Cash from Customers,947554.46,2024,10
233,20241015,Operating,Cash Paid to Suppliers,-426730.24,2024,10
234,20241015,Operating,Cash Paid to Employees,-375443.95,2024,10
235,20241015,Operating,Interest Received,18199.76,2024,10
236,20241015,Operating,Taxes Paid,-80769.32,2024,10
237,20241015,Investing,Capital Expenditures,-99492.88,2024,10
238,20241015,Investing,Asset Sales,12533.67,2024,10
239,20241015,Investing,Acquisitions,-29286.84,2024,10
240,20241015,Financing,Debt Repayment,-48393.92,2024,10
241,20241015,Financing,Dividends Paid,-29769.6,2024,10
242,20241015,Financing,Share Issuance,19595.32,2024,10
243,20241115,Operating,Cash from Customers,893101.92,2024,11
244,20241115,Operating,Cash Paid to Suppliers,-411849.96,2024,11
245,20241115,Operating,Cash Paid to Employees,-359448.16,2024,11
246,20241115,Operating,Interest Received,14396.05,2024,11
247,20241115,Operating,Taxes Paid,-74393.92,2024,11
248,20241115,Investing,Capital Expenditures,-97274.33,2024,11
249,20241115,Investing,Asset Sales,12527.66,2024,11
250,20241115,Investing,Acquisitions,-30061.02,2024,11
251,20241115,Financing,Debt Repayment,-54850.48,2024,11
252,20241115,Financing,Dividends Paid,-30385.45,2024,11
253,20241115,Financing,Share Issuance,22293.77,2024,11
254,20241215,Operating,Cash from Customers,934867.58,2024,12
255,20241215,Operating,Cash Paid to Suppliers,-384198.0,2024,12
256,20241215,Operating,Cash Paid to Employees,-366079.41,2024,12
257,20241215,Operating,Interest Received,14781.18,2024,12
258,20241215,Operating,Taxes Paid,-63266.8,2024,12
259,20241215,Investing,Capital Expenditures,-106877.63,2024,12
260,20241215,Investing,Asset Sales,14630.35,2024,12
261,20241215,Investing,Acquisitions,-25353.07,2024,12
262,20241215,Financing,Debt Repayment,-55130.56,2024,12
263,20241215,Financing,Dividends Paid,-28759.04,2024,12
264,20241215,Financing,Share Issuance,22776.72,2024,12
265,20250115,Operating,Cash from Customers,1002837.64,2025,1
266,20250115,Operating,Cash Paid to Suppliers,-474647.95,2025,1
267,20250115,Operating,Cash Paid to Employees,-395438.57,2025,1
268,20250115,Operating,Interest Received,18705.47,2025,1
269,20250115,Operating,Taxes Paid,-82648.57,2025,1
270,20250115,Investing,Capital Expenditures,-112158.75,2025,1
271,20250115,Investing,Asset Sales,16174.86,2025,1
272,20250115,Investing,Acquisitions,-27504.03,2025,1
273,20250115,Financing,Debt Repayment,-60035.02,2025,1
274,20250115,Financing,Dividends Paid,-42397.0,2025,1
275,20250115,Financing,Share Issuance,27758.16,2025,1
276,20250215,Operating,Cash from Customers,896965.66,2025,2
277,20250215,Operating,Cash Paid to Suppliers,-446903.16,2025,2
278,20250215,Operating,Cash Paid to Employees,-358699.77,2025,2
279,20250215,Operating,Interest Received,18905.35,2025,2
280,20250215,Operating,Taxes Paid,-87866.4,2025,2
281,20250215,Investing,Capital Expenditures,-93480.69,2025,2
282,20250215,Investing,Asset Sales,13223.03,2025,2
283,20250215,Investing,Acquisitions,-28267.94,2025,2
284,20250215,Financing,Debt Repayment,-50128.66,2025,2
285,20250215,Financing,Dividends Paid,-37897.46,2025,2
286,20250215,Financing,Share Issuance,27414.79,2025,2
287,20250315,Operating,Cash from Customers,853617.57,2025,3
288,20250315,Operating,Cash Paid to Suppliers,-496486.68,2025,3
289,20250315,Operating,Cash Paid to Employees,-397531.89,2025,3
290,20250315,Operating,Interest Received,17838.66,2025,3
291,20250315,Operating,Taxes Paid,-81674.25,2025,3
292,20250315,Investing,Capital Expenditures,-102966.88,2025,3
293,20250315,Investing,Asset Sales,16867.5,2025,3
294,20250315,Investing,Acquisitions,-26350.8,2025,3
295,20250315,Financing,Debt Repayment,-52462.04,2025,3
296,20250315,Financing,Dividends Paid,-42179.76,2025,3
297,20250315,Financing,Share Issuance,24944.66,2025,3
298,20250415,Operating,Cash from Customers,1076161.82,2025,4
299,20250415,Operating,Cash Paid to Suppliers,-454722.32,2025,4
300,20250415,Operating,Cash Paid to Employees,-390243.31,2025,4
301,20250415,Operating,Interest Received,19030.06,2025,4
302,20250415,Operating,Taxes Paid,-85317.55,2025,4
303,20250415,Investing,Capital Expenditures,-106116.71,2025,4
304,20250415,Investing,Asset Sales,17049.59,2025,4
305,20250415,Investing,Acquisitions,-29624.69,2025,4
306,20250415,Financing,Debt Repayment,-56439.63,2025,4
307,20250415,Financing,Dividends Paid,-33961.81,2025,4
308,20250415,Financing,Share Issuance,21816.63,2025,4
309,20250515,Operating,Cash from Customers,1087161.56,2025,5
310,20250515,Operating,Cash Paid to Suppliers,-399770.47,2025,5
311,20250515,Operating,Cash Paid to Employees,-359668.29,2025,5
312,20250515,Operating,Interest Received,17482.38,2025,5
313,20250515,Operating,Taxes Paid,-88642.94,2025,5
314,20250515,Investing,Capital Expenditures,-119863.71,2025,5
315,20250515,Investing,Asset Sales,15335.97,2025,5
316,20250515,Investing,Acquisitions,-28359.17,2025,5
317,20250515,Financing,Debt Repayment,-53440.75,2025,5
318,20250515,Financing,Dividends Paid,-33053.97,2025,5
319,20250515,Financing,Share Issuance,25710.01,2025,5
320,20250615,Operating,Cash from Customers,865329.43,2025,6
321,20250615,Operating,Cash Paid to Suppliers,-402096.75,2025,6
322,20250615,Operating,Cash Paid to Employees,-382727.37,2025,6
323,20250615,Operating,Interest Received,20852.42,2025,6
324,20250615,Operating,Taxes Paid,-78183.44,2025,6
325,20250615,Investing,Capital Expenditures,-92222.49,2025,6
326,20250615,Investing,Asset Sales,13782.66,2025,6
327,20250615,Investing,Acquisitions,-30305.69,2025,6
328,20250615,Financing,Debt Repayment,-59056.19,2025,6
329,20250615,Financing,Dividends Paid,-37600.69,2025,6
330,20250615,Financing,Share Issuance,21604.95,2025,6
331,20250715,Operating,Cash from Customers,1061244.05,2025,7
332,20250715,Operating,Cash Paid to Suppliers,-498495.78,2025,7
333,20250715,Operating,Cash Paid to Employees,-420227.42,2025,7
334,20250715,Operating,Interest Received,16884.86,2025,7
335,20250715,Operating,Taxes Paid,-77508.4,2025,7
336,20250715,Investing,Capital Expenditures,-110374.4,2025,7
337,20250715,Investing,Asset Sales,16310.75,2025,7
338,20250715,Investing,Acquisitions,-31975.99,2025,7
339,20250715,Financing,Debt Repayment,-54455.55,2025,7
340,20250715,Financing,Dividends Paid,-33332.96,2025,7
341,20250715,Financing,Share Issuance,28463.82,2025,7
342,20250815,Operating,Cash from Customers,972247.43,2025,8
343,20250815,Operating,Cash Paid to Suppliers,-372273.46,2025,8
344,20250815,Operating,Cash Paid to Employees,-409133.41,2025,8
345,20250815,Operating,Interest Received,16242.59,2025,8
346,20250815,Operating,Taxes Paid,-71523.34,2025,8
347,20250815,Investing,Capital Expenditures,-93067.89,2025,8
348,20250815,Investing,Asset Sales,15095.92,2025,8
349,20250815,Investing,Acquisitions,-26963.42,2025,8
350,20250815,Financing,Debt Repayment,-58146.57,2025,8
351,20250815,Financing,Dividends Paid,-35669.07,2025,8
352,20250815,Financing,Share Issuance,23561.37,2025,8
353,20250915,Operating,Cash from Customers,924520.09,2025,9
354,20250915,Operating,Cash Paid to Suppliers,-482024.97,2025,9
355,20250915,Operating,Cash Paid to Employees,-364155.12,2025,9
356,20250915,Operating,Interest Received,15865.04,2025,9
357,20250915,Operating,Taxes Paid,-77629.63,2025,9
358,20250915,Investing,Capital Expenditures,-120222.62,2025,9
359,20250915,Investing,Asset Sales,14338.21,2025,9
360,20250915,Investing,Acquisitions,-27326.53,2025,9
361,20250915,Financing,Debt Repayment,-62925.14,2025,9
362,20250915,Financing,Dividends Paid,-33581.16,2025,9
363,20250915,Financing,Share Issuance,26498.76,2025,9
364,20251015,Operating,Cash from Customers,934429.15,2025,10
365,20251015,Operating,Cash Paid to Suppliers,-475838.89,2025,10
366,20251015,Operating,Cash Paid to Employees,-395564.2,2025,10
367,20251015,Operating,Interest Received,18761.6,2025,10
368,20251015,Operating,Taxes Paid,-85447.01,2025,10
369,20251015,Investing,Capital Expenditures,-116953.9,2025,10
370,20251015,Investing,Asset Sales,15110.08,2025,10
371,20251015,Investing,Acquisitions,-31999.44,2025,10
372,20251015,Financing,Debt Repayment,-62438.59,2025,10
373,20251015,Financing,Dividends Paid,-33525.54,2025,10
374,20251015,Financing,Share Issuance,28122.04,2025,10
375,20251115,Operating,Cash from Customers,959134.05,2025,11
376,20251115,Operating,Cash Paid to Suppliers,-413841.51,2025,11
377,20251115,Operating,Cash Paid to Employees,-425524.01,2025,11
378,20251115,Operating,Interest Received,21211.44,2025,11
379,20251115,Operating,Taxes Paid,-81366.07,2025,11
380,20251115,Investing,Capital Expenditures,-108391.79,2025,11
381,20251115,Investing,Asset Sales,16440.75,2025,11
382,20251115,Investing,Acquisitions,-30784.82,2025,11
383,20251115,Financing,Debt Repayment,-49565.56,2025,11
384,20251115,Financing,Dividends Paid,-31725.99,2025,11
385,20251115,Financing,Share Issuance,24900.93,2025,11
386,20251215,Operating,Cash from Customers,889474.21,2025,12
387,20251215,Operating,Cash Paid to Suppliers,-385353.16,2025,12
388,20251215,Operating,Cash Paid to Employees,-382372.43,2025,12
389,20251215,Operating,Interest Received,19913.66,2025,12
390,20251215,Operating,Taxes Paid,-69788.27,2025,12
391,20251215,Investing,Capital Expenditures,-112527.76,2025,12
392,20251215,Investing,Asset Sales,16998.17,2025,12
393,20251215,Investing,Acquisitions,-32929.77,2025,12
394,20251215,Financing,Debt Repayment,-51600.13,2025,12
395,20251215,Financing,Dividends Paid,-38413.13,2025,12
396,20251215,Financing,Share Issuance,26338.49,2025,12
