DateKey,Date,Year,Quarter,QuarterNumber,Month,MonthNumber,MonthShort,Week,DayOfWeek,DayOfMonth,IsWeekend,FiscalYear,FiscalQuarter,YearMonth
20230206,2023-02-06,2023,Q1,1,February,2,Feb,6,Monday,6,0,FY2022,FQ2,2023-02
20230207,2023-02-07,2023,Q1,1,February,2,Feb,6,Tuesday,7,0,FY2022,FQ2,2023-02
20230208,2023-02-08,2023,Q1,1,February,2,Feb,6,Wednesday,8,0,FY2022,FQ2,2023-02
20230209,2023-02-09,2023,Q1,1,February,2,Feb,6,Thursday,9,0,FY2022,FQ2,2023-02
20230210,2023-02-10,2023,Q1,1,February,2,Feb,6,Friday,10,0,FY2022,FQ2,2023-02
20230211,2023-02-11,2023,Q1,1,February,2,Feb,6,Saturday,11,1,FY2022,FQ2,2023-02
20230212,2023-02-12,2023,Q1,1,February,2,Feb,6,Sunday,12,1,FY2022,FQ2,2023-02
20230213,2023-02-13,2023,Q1,1,February,2,Feb,7,Monday,13,0,FY2022,FQ2,2023-02
20230214,2023-02-14,2023,Q1,1,February,2,Feb,7,Tuesday,14,0,FY2022,FQ2,2023-02
20230215,2023-02-15,2023,Q1,1,February,2,Feb,7,Wednesday,15,0,FY2022,FQ2,2023-02
20230216,2023-02-16,2023,Q1,1,February,2,Feb,7,Thursday,16,0,FY2022,FQ2,2023-02
20230217,2023-02-17,2023,Q1,1,February,2,Feb,7,Friday,17,0,FY2022,FQ2,2023-02
20230218,2023-02-18,2023,Q1,1,February,2,Feb,7,Saturday,18,1,FY2022,FQ2,2023-02
20230219,2023-02-19,2023,Q1,1,February,2,Feb,7,Sunday,19,1,FY2022,FQ2,2023-02
20230220,2023-02-20,2023,Q1,1,February,2,Feb,8,Monday,20,0,FY2022,FQ2,2023-02
20230221,2023-02-21,2023,Q1,1,February,2,Feb,8,Tuesday,21,0,FY2022,FQ2,2023-02
20230222,2023-02-22,2023,Q1,1,February,2,Feb,8,Wednesday,22,0,FY2022,FQ2,2023-02
20230223,2023-02-23,2023,Q1,1,February,2,Feb,8,Thursday,23,0,FY2022,FQ2,2023-02
20230224,2023-02-24,2023,Q1,1,February,2,Feb,8,Friday,24,0,FY2022,FQ2,2023-02
20230225,2023-02-25,2023,Q1,1,February,2,Feb,8,Saturday,25,1,FY2022,FQ2,2023-02
20230226,2023-02-26,2023,Q1,1,February,2,Feb,8,Sunday,26,1,FY2022,FQ2,2023-02
20230227,2023-02-27,2023,Q1,1,February,2,Feb,9,Monday,27,0,FY2022,FQ2,2023-02
20230228,2023-02-28,2023,Q1,1,February,2,Feb,9,Tuesday,28,0,FY2022,FQ2,2023-02
20230301,2023-03-01,2023,Q1,1,March,3,Mar,9,Wednesday,1,0,FY2022,FQ2,2023-03
20230302,2023-03-02,2023,Q1,1,March,3,Mar,9,Thursday,2,0,FY2022,FQ2,2023-03
20230303,2023-03-03,2023,Q1,1,March,3,Mar,9,Friday,3,0,FY2022,FQ2,2023-03
20230304,2023-03-04,2023,Q1,1,March,3,Mar,9,Saturday,4,1,FY2022,FQ2,2023-03
20230305,2023-03-05,2023,Q1,1,March,3,Mar,9,Sunday,5,1,FY2022,FQ2,2023-03
20230306,2023-03-06,2023,Q1,1,March,3,Mar,10,Monday,6,0,FY2022,FQ2,2023-03
20230307,2023-03-07,2023,Q1,1,March,3,Mar,10,Tuesday,7,0,FY2022,FQ2,2023-03
20230308,2023-03-08,2023,Q1,1,March,3,Mar,10,Wednesday,8,0,FY2022,FQ2,2023-03
20230309,2023-03-09,2023,Q1,1,March,3,Mar,10,Thursday,9,0,FY2022,FQ2,2023-03
20230310,2023-03-10,2023,Q1,1,March,3,Mar,10,Friday,10,0,FY2022,FQ2,2023-03
20230311,2023-03-11,2023,Q1,1,March,3,Mar,10,Saturday,11,1,FY2022,FQ2,2023-03
20230312,2023-03-12,2023,Q1,1,March,3,Mar,10,Sunday,12,1,FY2022,FQ2,2023-03
20230313,2023-03-13,2023,Q1,1,March,3,Mar,11,Monday,13,0,FY2022,FQ2,2023-03
20230314,2023-03-14,2023,Q1,1,March,3,Mar,11,Tuesday,14,0,FY2022,FQ2,2023-03
20230315,2023-03-15,2023,Q1,1,March,3,Mar,11,Wednesday,15,0,FY2022,FQ2,2023-03
20230316,2023-03-16,2023,Q1,1,March,3,Mar,11,Thursday,16,0,FY2022,FQ2,2023-03
20230317,2023-03-17,2023,Q1,1,March,3,Mar,11,Friday,17,0,FY2022,FQ2,2023-03
20230318,2023-03-18,2023,Q1,1,March,3,Mar,11,Saturday,18,1,FY2022,FQ2,2023-03
20230319,2023-03-19,2023,Q1,1,March,3,Mar,11,Sunday,19,1,FY2022,FQ2,2023-03
20230320,2023-03-20,2023,Q1,1,March,3,Mar,12,Monday,20,0,FY2022,FQ2,2023-03
20230321,2023-03-21,2023,Q1,1,March,3,Mar,12,Tuesday,21,0,FY2022,FQ2,2023-03
20230322,2023-03-22,2023,Q1,1,March,3,Mar,12,Wednesday,22,0,FY2022,FQ2,2023-03
20230323,2023-03-23,2023,Q1,1,March,3,Mar,12,Thursday,23,0,FY2022,FQ2,2023-03
20230324,2023-03-24,2023,Q1,1,March,3,Mar,12,Friday,24,0,FY2022,FQ2,2023-03
20230325,2023-03-25,2023,Q1,1,March,3,Mar,12,Saturday,25,1,FY2022,FQ2,2023-03
20230326,2023-03-26,2023,Q1,1,March,3,Mar,12,Sunday,26,1,FY2022,FQ2,2023-03
20230327,2023-03-27,2023,Q1,1,March,3,Mar,13,Monday,27,0,FY2022,FQ2,2023-03
20230328,2023-03-28,2023,Q1,1,March,3,Mar,13,Tuesday,28,0,FY2022,FQ2,2023-03
20230329,2023-03-29,2023,Q1,1,March,3,Mar,13,Wednesday,29,0,FY2022,FQ2,2023-03
20230330,2023-03-30,2023,Q1,1,March,3,Mar,13,Thursday,30,0,FY2022,FQ2,2023-03
20230331,2023-03-31,2023,Q1,1,March,3,Mar,13,Friday,31,0,FY2022,FQ2,2023-03
20230401,2023-04-01,2023,Q2,2,April,4,Apr,13,Saturday,1,1,FY2023,FQ3,2023-04
20230402,2023-04-02,2023,Q2,2,April,4,Apr,13,Sunday,2,1,FY2023,FQ3,2023-04
20230403,2023-04-03,2023,Q2,2,April,4,Apr,14,Monday,3,0,FY2023,FQ3,2023-04
20230404,2023-04-04,2023,Q2,2,April,4,Apr,14,Tuesday,4,0,FY2023,FQ3,2023-04
20230405,2023-04-05,2023,Q2,2,April,4,Apr,14,Wednesday,5,0,FY2023,FQ3,2023-04
20230406,2023-04-06,2023,Q2,2,April,4,Apr,14,Thursday,6,0,FY2023,FQ3,2023-04
20230407,2023-04-07,2023,Q2,2,April,4,Apr,14,Friday,7,0,FY2023,FQ3,2023-04
20230408,2023-04-08,2023,Q2,2,April,4,Apr,14,Saturday,8,1,FY2023,FQ3,2023-04
20230409,2023-04-09,2023,Q2,2,April,4,Apr,14,Sunday,9,1,FY2023,FQ3,2023-04
20230410,2023-04-10,2023,Q2,2,April,4,Apr,15,Monday,10,0,FY2023,FQ3,2023-04
20230411,2023-04-11,2023,Q2,2,April,4,Apr,15,Tuesday,11,0,FY2023,FQ3,2023-04
20230412,2023-04-12,2023,Q2,2,April,4,Apr,15,Wednesday,12,0,FY2023,FQ3,2023-04
20230413,2023-04-13,2023,Q2,2,April,4,Apr,15,Thursday,13,0,FY2023,FQ3,2023-04
20230414,2023-04-14,2023,Q2,2,April,4,Apr,15,Friday,14,0,FY2023,FQ3,2023-04
20230415,2023-04-15,2023,Q2,2,April,4,Apr,15,Saturday,15,1,FY2023,FQ3,2023-04
20230416,2023-04-16,2023,Q2,2,April,4,Apr,15,Sunday,16,1,FY2023,FQ3,2023-04
20230417,2023-04-17,2023,Q2,2,April,4,Apr,16,Monday,17,0,FY2023,FQ3,2023-04
20230418,2023-04-18,2023,Q2,2,April,4,Apr,16,Tuesday,18,0,FY2023,FQ3,2023-04
20230419,2023-04-19,2023,Q2,2,April,4,Apr,16,Wednesday,19,0,FY2023,FQ3,2023-04
20230420,2023-04-20,2023,Q2,2,April,4,Apr,16,Thursday,20,0,FY2023,FQ3,2023-04
20230421,2023-04-21,2023,Q2,2,April,4,Apr,16,Friday,21,0,FY2023,FQ3,2023-04
20230422,2023-04-22,2023,Q2,2,April,4,Apr,16,Saturday,22,1,FY2023,FQ3,2023-04
20230423,2023-04-23,2023,Q2,2,April,4,Apr,16,Sunday,23,1,FY2023,FQ3,2023-04
20230424,2023-04-24,2023,Q2,2,April,4,Apr,17,Monday,24,0,FY2023,FQ3,2023-04
20230425,2023-04-25,2023,Q2,2,April,4,Apr,17,Tuesday,25,0,FY2023,FQ3,2023-04
20230426,2023-04-26,2023,Q2,2,April,4,Apr,17,Wednesday,26,0,FY2023,FQ3,2023-04
20230427,2023-04-27,2023,Q2,2,April,4,Apr,17,Thursday,27,0,FY2023,FQ3,2023-04
20230428,2023-04-28,2023,Q2,2,April,4,Apr,17,Friday,28,0,FY2023,FQ3,2023-04
20230429,2023-04-29,2023,Q2,2,April,4,Apr,17,Saturday,29,1,FY2023,FQ3,2023-04
20230430,2023-04-30,2023,Q2,2,April,4,Apr,17,Sunday,30,1,FY2023,FQ3,2023-04
20230501,2023-05-01,2023,Q2,2,May,5,May,18,Monday,1,0,FY2023,FQ3,2023-05
20230502,2023-05-02,2023,Q2,2,May,5,May,18,Tuesday,2,0,FY2023,FQ3,2023-05
20230503,2023-05-03,2023,Q2,2,May,5,May,18,Wednesday,3,0,FY2023,FQ3,2023-05
20230504,2023-05-04,2023,Q2,2,May,5,May,18,Thursday,4,0,FY2023,FQ3,2023-05
20230505,2023-05-05,2023,Q2,2,May,5,May,18,Friday,5,0,FY2023,FQ3,2023-05
20230506,2023-05-06,2023,Q2,2,May,5,May,18,Saturday,6,1,FY2023,FQ3,2023-05
20230507,2023-05-07,2023,Q2,2,May,5,May,18,Sunday,7,1,FY2023,FQ3,2023-05
20230508,2023-05-08,2023,Q2,2,May,5,May,19,Monday,8,0,FY2023,FQ3,2023-05
20230509,2023-05-09,2023,Q2,2,May,5,May,19,Tuesday,9,0,FY2023,FQ3,2023-05
20230510,2023-05-10,2023,Q2,2,May,5,May,19,Wednesday,10,0,FY2023,FQ3,2023-05
20230511,2023-05-11,2023,Q2,2,May,5,May,19,Thursday,11,0,FY2023,FQ3,2023-05
20230512,2023-05-12,2023,Q2,2,May,5,May,19,Friday,12,0,FY2023,FQ3,2023-05
20230513,2023-05-13,2023,Q2,2,May,5,May,19,Saturday,13,1,FY2023,FQ3,2023-05
20230514,2023-05-14,2023,Q2,2,May,5,May,19,Sunday,14,1,FY2023,FQ3,2023-05
20230515,2023-05-15,2023,Q2,2,May,5,May,20,Monday,15,0,FY2023,FQ3,2023-05
20230516,2023-05-16,2023,Q2,2,May,5,May,20,Tuesday,16,0,FY2023,FQ3,2023-05
20230517,2023-05-17,2023,Q2,2,May,5,May,20,Wednesday,17,0,FY2023,FQ3,2023-05
20230518,2023-05-18,2023,Q2,2,May,5,May,20,Thursday,18,0,FY2023,FQ3,2023-05
20230519,2023-05-19,2023,Q2,2,May,5,May,20,Friday,19,0,FY2023,FQ3,2023-05
20230520,2023-05-20,2023,Q2,2,May,5,May,20,Saturday,20,1,FY2023,FQ3,2023-05
20230521,2023-05-21,2023,Q2,2,May,5,May,20,Sunday,21,1,FY2023,FQ3,2023-05
20230522,2023-05-22,2023,Q2,2,May,5,May,21,Monday,22,0,FY2023,FQ3,2023-05
20230523,2023-05-23,2023,Q2,2,May,5,May,21,Tuesday,23,0,FY2023,FQ3,2023-05
20230524,2023-05-24,2023,Q2,2,May,5,May,21,Wednesday,24,0,FY2023,FQ3,2023-05
20230525,2023-05-25,2023,Q2,2,May,5,May,21,Thursday,25,0,FY2023,FQ3,2023-05
20230526,2023-05-26,2023,Q2,2,May,5,May,21,Friday,26,0,FY2023,FQ3,2023-05
20230527,2023-05-27,2023,Q2,2,May,5,May,21,Saturday,27,1,FY2023,FQ3,2023-05
20230528,2023-05-28,2023,Q2,2,May,5,May,21,Sunday,28,1,FY2023,FQ3,2023-05
20230529,2023-05-29,2023,Q2,2,May,5,May,22,Monday,29,0,FY2023,FQ3,2023-05
20230530,2023-05-30,2023,Q2,2,May,5,May,22,Tuesday,30,0,FY2023,FQ3,2023-05
20230531,2023-05-31,2023,Q2,2,May,5,May,22,Wednesday,31,0,FY2023,FQ3,2023-05
20230601,2023-06-01,2023,Q2,2,June,6,Jun,22,Thursday,1,0,FY2023,FQ3,2023-06
20230602,2023-06-02,2023,Q2,2,June,6,Jun,22,Friday,2,0,FY2023,FQ3,2023-06
20230603,2023-06-03,2023,Q2,2,June,6,Jun,22,Saturday,3,1,FY2023,FQ3,2023-06
20230604,2023-06-04,2023,Q2,2,June,6,Jun,22,Sunday,4,1,FY2023,FQ3,2023-06
20230605,2023-06-05,2023,Q2,2,June,6,Jun,23,Monday,5,0,FY2023,FQ3,2023-06
20230606,2023-06-06,2023,Q2,2,June,6,Jun,23,Tuesday,6,0,FY2023,FQ3,2023-06
20230607,2023-06-07,2023,Q2,2,June,6,Jun,23,Wednesday,7,0,FY2023,FQ3,2023-06
20230608,2023-06-08,2023,Q2,2,June,6,Jun,23,Thursday,8,0,FY2023,FQ3,2023-06
20230609,2023-06-09,2023,Q2,2,June,6,Jun,23,Friday,9,0,FY2023,FQ3,2023-06
20230610,2023-06-10,2023,Q2,2,June,6,Jun,23,Saturday,10,1,FY2023,FQ3,2023-06
20230611,2023-06-11,2023,Q2,2,June,6,Jun,23,Sunday,11,1,FY2023,FQ3,2023-06
20230612,2023-06-12,2023,Q2,2,June,6,Jun,24,Monday,12,0,FY2023,FQ3,2023-06
20230613,2023-06-13,2023,Q2,2,June,6,Jun,24,Tuesday,13,0,FY2023,FQ3,2023-06
20230614,2023-06-14,2023,Q2,2,June,6,Jun,24,Wednesday,14,0,FY2023,FQ3,2023-06
20230615,2023-06-15,2023,Q2,2,June,6,Jun,24,Thursday,15,0,FY2023,FQ3,2023-06
20230616,2023-06-16,2023,Q2,2,June,6,Jun,24,Friday,16,0,FY2023,FQ3,2023-06
20230617,2023-06-17,2023,Q2,2,June,6,Jun,24,Saturday,17,1,FY2023,FQ3,2023-06
20230618,2023-06-18,2023,Q2,2,June,6,Jun,24,Sunday,18,1,FY2023,FQ3,2023-06
20230619,2023-06-19,2023,Q2,2,June,6,Jun,25,Monday,19,0,FY2023,FQ3,2023-06
20230620,2023-06-20,2023,Q2,2,June,6,Jun,25,Tuesday,20,0,FY2023,FQ3,2023-06
20230621,2023-06-21,2023,Q2,2,June,6,Jun,25,Wednesday,21,0,FY2023,FQ3,2023-06
20230622,2023-06-22,2023,Q2,2,June,6,Jun,25,Thursday,22,0,FY2023,FQ3,2023-06
20230623,2023-06-23,2023,Q2,2,June,6,Jun,25,Friday,23,0,FY2023,FQ3,2023-06
20230624,2023-06-24,2023,Q2,2,June,6,Jun,25,Saturday,24,1,FY2023,FQ3,2023-06
20230625,2023-06-25,2023,Q2,2,June,6,Jun,25,Sunday,25,1,FY2023,FQ3,2023-06
20230626,2023-06-26,2023,Q2,2,June,6,Jun,26,Monday,26,0,FY2023,FQ3,2023-06
20230627,2023-06-27,2023,Q2,2,June,6,Jun,26,Tuesday,27,0,FY2023,FQ3,2023-06
20230628,2023-06-28,2023,Q2,2,June,6,Jun,26,Wednesday,28,0,FY2023,FQ3,2023-06
20230629,2023-06-29,2023,Q2,2,June,6,Jun,26,Thursday,29,0,FY2023,FQ3,2023-06
20230630,2023-06-30,2023,Q2,2,June,6,Jun,26,Friday,30,0,FY2023,FQ3,2023-06
20230701,2023-07-01,2023,Q3,3,July,7,Jul,26,Saturday,1,1,FY2023,FQ4,2023-07
20230702,2023-07-02,2023,Q3,3,July,7,Jul,26,Sunday,2,1,FY2023,FQ4,2023-07
20230703,2023-07-03,2023,Q3,3,July,7,Jul,27,Monday,3,0,FY2023,FQ4,2023-07
20230704,2023-07-04,2023,Q3,3,July,7,Jul,27,Tuesday,4,0,FY2023,FQ4,2023-07
20230705,2023-07-05,2023,Q3,3,July,7,Jul,27,Wednesday,5,0,FY2023,FQ4,2023-07
20230706,2023-07-06,2023,Q3,3,July,7,Jul,27,Thursday,6,0,FY2023,FQ4,2023-07
20230707,2023-07-07,2023,Q3,3,July,7,Jul,27,Friday,7,0,FY2023,FQ4,2023-07
20230708,2023-07-08,2023,Q3,3,July,7,Jul,27,Saturday,8,1,FY2023,FQ4,2023-07
20230709,2023-07-09,2023,Q3,3,July,7,Jul,27,Sunday,9,1,FY2023,FQ4,2023-07
20230710,2023-07-10,2023,Q3,3,July,7,Jul,28,Monday,10,0,FY2023,FQ4,2023-07
20230711,2023-07-11,2023,Q3,3,July,7,Jul,28,Tuesday,11,0,FY2023,FQ4,2023-07
20230712,2023-07-12,2023,Q3,3,July,7,Jul,28,Wednesday,12,0,FY2023,FQ4,2023-07
20230713,2023-07-13,2023,Q3,3,July,7,Jul,28,Thursday,13,0,FY2023,FQ4,2023-07
20230714,2023-07-14,2023,Q3,3,July,7,Jul,28,Friday,14,0,FY2023,FQ4,2023-07
20230715,2023-07-15,2023,Q3,3,July,7,Jul,28,Saturday,15,1,FY2023,FQ4,2023-07
20230716,2023-07-16,2023,Q3,3,July,7,Jul,28,Sunday,16,1,FY2023,FQ4,2023-07
20230717,2023-07-17,2023,Q3,3,July,7,Jul,29,Monday,17,0,FY2023,FQ4,2023-07
20230718,2023-07-18,2023,Q3,3,July,7,Jul,29,Tuesday,18,0,FY2023,FQ4,2023-07
20230719,2023-07-19,2023,Q3,3,July,7,Jul,29,Wednesday,19,0,FY2023,FQ4,2023-07
20230720,2023-07-20,2023,Q3,3,July,7,Jul,29,Thursday,20,0,FY2023,FQ4,2023-07
20230721,2023-07-21,2023,Q3,3,July,7,Jul,29,Friday,21,0,FY2023,FQ4,2023-07
20230722,2023-07-22,2023,Q3,3,July,7,Jul,29,Saturday,22,1,FY2023,FQ4,2023-07
20230723,2023-07-23,2023,Q3,3,July,7,Jul,29,Sunday,23,1,FY2023,FQ4,2023-07
20230724,2023-07-24,2023,Q3,3,July,7,Jul,30,Monday,24,0,FY2023,FQ4,2023-07
20230725,2023-07-25,2023,Q3,3,July,7,Jul,30,Tuesday,25,0,FY2023,FQ4,2023-07
20230726,2023-07-26,2023,Q3,3,July,7,Jul,30,Wednesday,26,0,FY2023,FQ4,2023-07
20230727,2023-07-27,2023,Q3,3,July,7,Jul,30,Thursday,27,0,FY2023,FQ4,2023-07
20230728,2023-07-28,2023,Q3,3,July,7,Jul,30,Friday,28,0,FY2023,FQ4,2023-07
20230729,2023-07-29,2023,Q3,3,July,7,Jul,30,Saturday,29,1,FY2023,FQ4,2023-07
20230730,2023-07-30,2023,Q3,3,July,7,Jul,30,Sunday,30,1,FY2023,FQ4,2023-07
20230731,2023-07-31,2023,Q3,3,July,7,Jul,31,Monday,31,0,FY2023,FQ4,2023-07
20230801,2023-08-01,2023,Q3,3,August,8,Aug,31,Tuesday,1,0,FY2023,FQ4,2023-08
20230802,2023-08-02,2023,Q3,3,August,8,Aug,31,Wednesday,2,0,FY2023,FQ4,2023-08
20230803,2023-08-03,2023,Q3,3,August,8,Aug,31,Thursday,3,0,FY2023,FQ4,2023-08
20230804,2023-08-04,2023,Q3,3,August,8,Aug,31,Friday,4,0,FY2023,FQ4,2023-08
20230805,2023-08-05,2023,Q3,3,August,8,Aug,31,Saturday,5,1,FY2023,FQ4,2023-08
20230806,2023-08-06,2023,Q3,3,August,8,Aug,31,Sunday,6,1,FY2023,FQ4,2023-08
20230807,2023-08-07,2023,Q3,3,August,8,Aug,32,Monday,7,0,FY2023,FQ4,2023-08
20230808,2023-08-08,2023,Q3,3,August,8,Aug,32,Tuesday,8,0,FY2023,FQ4,2023-08
20230809,2023-08-09,2023,Q3,3,August,8,Aug,32,Wednesday,9,0,FY2023,FQ4,2023-08
20230810,2023-08-10,2023,Q3,3,August,8,Aug,32,Thursday,10,0,FY2023,FQ4,2023-08
20230811,2023-08-11,2023,Q3,3,August,8,Aug,32,Friday,11,0,FY2023,FQ4,2023-08
20230812,2023-08-12,2023,Q3,3,August,8,Aug,32,Saturday,12,1,FY2023,FQ4,2023-08
20230813,2023-08-13,2023,Q3,3,August,8,Aug,32,Sunday,13,1,FY2023,FQ4,2023-08
20230814,2023-08-14,2023,Q3,3,August,8,Aug,33,Monday,14,0,FY2023,FQ4,2023-08
20230815,2023-08-15,2023,Q3,3,August,8,Aug,33,Tuesday,15,0,FY2023,FQ4,2023-08
20230816,2023-08-16,2023,Q3,3,August,8,Aug,33,Wednesday,16,0,FY2023,FQ4,2023-08
20230817,2023-08-17,2023,Q3,3,August,8,Aug,33,Thursday,17,0,FY2023,FQ4,2023-08
20230818,2023-08-18,2023,Q3,3,August,8,Aug,33,Friday,18,0,FY2023,FQ4,2023-08
20230819,2023-08-19,2023,Q3,3,August,8,Aug,33,Saturday,19,1,FY2023,FQ4,2023-08
20230820,2023-08-20,2023,Q3,3,August,8,Aug,33,Sunday,20,1,FY2023,FQ4,2023-08
20230821,2023-08-21,2023,Q3,3,August,8,Aug,34,Monday,21,0,FY2023,FQ4,2023-08
20230822,2023-08-22,2023,Q3,3,August,8,Aug,34,Tuesday,22,0,FY2023,FQ4,2023-08
20230823,2023-08-23,2023,Q3,3,August,8,Aug,34,Wednesday,23,0,FY2023,FQ4,2023-08
20230824,2023-08-24,2023,Q3,3,August,8,Aug,34,Thursday,24,0,FY2023,FQ4,2023-08
20230825,2023-08-25,2023,Q3,3,August,8,Aug,34,Friday,25,0,FY2023,FQ4,2023-08
20230826,2023-08-26,2023,Q3,3,August,8,Aug,34,Saturday,26,1,FY2023,FQ4,2023-08
20230827,2023-08-27,2023,Q3,3,August,8,Aug,34,Sunday,27,1,FY2023,FQ4,2023-08
20230828,2023-08-28,2023,Q3,3,August,8,Aug,35,Monday,28,0,FY2023,FQ4,2023-08
20230829,2023-08-29,2023,Q3,3,August,8,Aug,35,Tuesday,29,0,FY2023,FQ4,2023-08
20230830,2023-08-30,2023,Q3,3,August,8,Aug,35,Wednesday,30,0,FY2023,FQ4,2023-08
20230831,2023-08-31,2023,Q3,3,August,8,Aug,35,Thursday,31,0,FY2023,FQ4,2023-08
20230901,2023-09-01,2023,Q3,3,September,9,Sep,35,Friday,1,0,FY2023,FQ4,2023-09
20230902,2023-09-02,2023,Q3,3,September,9,Sep,35,Saturday,2,1,FY2023,FQ4,2023-09
20230903,2023-09-03,2023,Q3,3,September,9,Sep,35,Sunday,3,1,FY2023,FQ4,2023-09
20230904,2023-09-04,2023,Q3,3,September,9,Sep,36,Monday,4,0,FY2023,FQ4,2023-09
20230905,2023-09-05,2023,Q3,3,September,9,Sep,36,Tuesday,5,0,FY2023,FQ4,2023-09
20230906,2023-09-06,2023,Q3,3,September,9,Sep,36,Wednesday,6,0,FY2023,FQ4,2023-09
20230907,2023-09-07,2023,Q3,3,September,9,Sep,36,Thursday,7,0,FY2023,FQ4,2023-09
20230908,2023-09-08,2023,Q3,3,September,9,Sep,36,Friday,8,0,FY2023,FQ4,2023-09
20230909,2023-09-09,2023,Q3,3,September,9,Sep,36,Saturday,9,1,FY2023,FQ4,2023-09
20230910,2023-09-10,2023,Q3,3,September,9,Sep,36,Sunday,10,1,FY2023,FQ4,2023-09
20230911,2023-09-11,2023,Q3,3,September,9,Sep,37,Monday,11,0,FY2023,FQ4,2023-09
20230912,2023-09-12,2023,Q3,3,September,9,Sep,37,Tuesday,12,0,FY2023,FQ4,2023-09
20230913,2023-09-13,2023,Q3,3,September,9,Sep,37,Wednesday,13,0,FY2023,FQ4,2023-09
20230914,2023-09-14,2023,Q3,3,September,9,Sep,37,Thursday,14,0,FY2023,FQ4,2023-09
